name,occurrence_no,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,description,full_description
Aardonyx,711596,herbivorous,sauropod,8.0,201.3,190.8,Free State,27.824444,-28.466389,Saurischia,Unknown,"Aardonyx (Afrikaans aard, ""earth"" + Greek onux, ""nail, claw"") is a genus of basal sauropodomorph dinosaur. It is known from the type species Aardonyx celestae found from the Early Jurassic Elliot Formation of South Africa.","Aardonyx is a dinosaur classified under the 'Saurischia' class. It was a sauropod with a herbivorous diet. The estimated maximum length was 8.0 meters. Fossil records date from 201.3 to 190.8 million years ago. Fossils were discovered in the Free State region at approximately latitude -28.466389 and longitude 27.824444. Description: Aardonyx (Afrikaans aard, ""earth"" + Greek onux, ""nail, claw"") is a genus of basal sauropodomorph dinosaur. It is known from the type species Aardonyx celestae found from the Early Jurassic Elliot Formation of South Africa."
Abelichnus,489956,Unknown,Unknown,Unknown,99.6,93.5,Mendoza,-69.25,-39.516701,Saurischia,Unknown,"Abelichnus is an extinct ichnogenus of dinosaur footprint from the Candeleros Formation and the Rio Limay Formation. The type ichnospecies, Abelichnus astigerrae, was first discovered in Argentina in 1987 and was recorded as the biggest known dinosaur footprint ever discovered.","Abelichnus is a dinosaur classified under the 'Saurischia' class. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 99.6 to 93.5 million years ago. Fossils were discovered in the Mendoza region at approximately latitude -39.516666 and longitude -69.25. Description: Abelichnus is an extinct ichnogenus of dinosaur footprint from the Candeleros Formation and the Rio Limay Formation. The type ichnospecies, Abelichnus astigerrae, was first discovered in Argentina in 1987 and was recorded as the biggest known dinosaur footprint ever discovered."
Abelisaurus,343835,carnivorous,large theropod,9.0,83.5,70.6,Río Negro,-67.982765,-38.76173,Saurischia,Abelisauridae,"Abelisaurus (; ""Abel's lizard"") is a genus of predatory abelisaurid theropod dinosaur alive during the Late Cretaceous Period (Campanian) of what is now South America. It was a bipedal carnivore that probably reached about 7.4 metres (24 ft 3 in) in length, although this is uncertain as it is known from only one partial skull.","Abelisaurus is a dinosaur classified under the 'Saurischia' class and belongs to the Abelisauridae family. It was a large theropod with a carnivorous diet. The estimated maximum length was 9.0 meters. Fossil records date from 83.5 to 70.6 million years ago. Fossils were discovered in the Río Negro region at approximately latitude -38.76173 and longitude -67.982765. Description: Abelisaurus (; ""Abel's lizard"") is a genus of predatory abelisaurid theropod dinosaur alive during the Late Cretaceous Period (Campanian) of what is now South America. It was a bipedal carnivore that probably reached about 7.4 metres (24 ft 3 in) in length, although this is uncertain as it is known from only one partial skull."
Abrictosaurus,645108,Unknown,Unknown,Unknown,201.3,190.8,Qacha's Nek,28.532604,-30.064182,Ornithischia,Heterodontosauridae,"Abrictosaurus (; ""wakeful lizard"") is a genus of heterodontosaurid dinosaur that lived during the Early Jurassic in what is now in parts of southern Africa such as Lesotho and South Africa. It was a bipedal herbivore or omnivore and was one of the most basal heterodontosaurids.","Abrictosaurus is a dinosaur classified under the 'Ornithischia' class and belongs to the Heterodontosauridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 201.3 to 190.8 million years ago. Fossils were discovered in the Qacha's Nek region at approximately latitude -30.064182 and longitude 28.532604. Description: Abrictosaurus (; ""wakeful lizard"") is a genus of heterodontosaurid dinosaur that lived during the Early Jurassic in what is now in parts of southern Africa such as Lesotho and South Africa. It was a bipedal herbivore or omnivore and was one of the most basal heterodontosaurids."
Abrosaurus,939383,Unknown,Unknown,Unknown,170.3,163.5,Sichuan,104.852501,29.411388,Saurischia,Unknown,"Abrosaurus (; 'delicate lizard' from the Greek αβρος meaning 'delicate' or 'dainty' and σαυρος meaning 'lizard') is a genus of macronarian sauropod dinosaur from the Middle Jurassic Period of what is now Asia, one of many dinosaurs found at the Dashanpu Quarry in the Sichuan Province of China. Like most sauropods, Abrosaurus was a quadrupedal herbivore but it was rather small for a sauropod, not much more than 30 feet (9.1 m) long.","Abrosaurus is a dinosaur classified under the 'Saurischia' class. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 170.3 to 163.5 million years ago. Fossils were discovered in the Sichuan region at approximately latitude 29.411388 and longitude 104.852501. Description: Abrosaurus (; 'delicate lizard' from the Greek αβρος meaning 'delicate' or 'dainty' and σαυρος meaning 'lizard') is a genus of macronarian sauropod dinosaur from the Middle Jurassic Period of what is now Asia, one of many dinosaurs found at the Dashanpu Quarry in the Sichuan Province of China. Like most sauropods, Abrosaurus was a quadrupedal herbivore but it was rather small for a sauropod, not much more than 30 feet (9.1 m) long."
Abydosaurus,850676,Unknown,Unknown,Unknown,109.0,93.5,Utah,-109.305244,40.440887,Saurischia,Brachiosauridae,"Abydosaurus (meaning ""Abydos lizard"") is a genus of brachiosaurid sauropod dinosaur known from skull and postcranial material found in upper Lower Cretaceous rocks of northeastern Utah, United States.


== Discovery ==

Abydosaurus is one of the few sauropods known from skull material, with the first described complete skull for a Cretaceous sauropod from the Americas.","Abydosaurus is a dinosaur classified under the 'Saurischia' class and belongs to the Brachiosauridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 109.0 to 93.5 million years ago. Fossils were discovered in the Utah region at approximately latitude 40.440887 and longitude -109.305244. Description: Abydosaurus (meaning ""Abydos lizard"") is a genus of brachiosaurid sauropod dinosaur known from skull and postcranial material found in upper Lower Cretaceous rocks of northeastern Utah, United States.


== Discovery ==

Abydosaurus is one of the few sauropods known from skull material, with the first described complete skull for a Cretaceous sauropod from the Americas."
Achelousaurus,517456,herbivorous,ceratopsian,6.0,83.5,70.6,Montana,-113.75,48.630001,Ornithischia,Ceratopsidae,"Achelousaurus ( ) is a genus of centrosaurine ceratopsid dinosaur that lived during the Late Cretaceous Period of what is now North America, about 74.2 million years ago. The first fossils of Achelousaurus were collected in Montana in 1987, by a team led by Jack Horner, with more finds made in 1989.","Achelousaurus is a dinosaur classified under the 'Ornithischia' class and belongs to the Ceratopsidae family. It was a ceratopsian with a herbivorous diet. The estimated maximum length was 6.0 meters. Fossil records date from 83.5 to 70.6 million years ago. Fossils were discovered in the Montana region at approximately latitude 48.970821 and longitude -112.642014. Description: Achelousaurus ( ) is a genus of centrosaurine ceratopsid dinosaur that lived during the Late Cretaceous Period of what is now North America, about 74.2 million years ago. The first fossils of Achelousaurus were collected in Montana in 1987, by a team led by Jack Horner, with more finds made in 1989."
Acheroraptor,1182422,Unknown,Unknown,Unknown,70.6,66.0,Montana,-107.350281,47.053055,Saurischia,Dromaeosauridae,"Acheroraptor is an extinct genus of dromaeosaurid theropod dinosaur known from the latest Maastrichtian Hell Creek Formation of Montana, United States. It contains a single species, Acheroraptor temertyorum.","Acheroraptor is a dinosaur classified under the 'Saurischia' class and belongs to the Dromaeosauridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 70.6 to 66.0 million years ago. Fossils were discovered in the Montana region at approximately latitude 47.053055 and longitude -107.350281. Description: Acheroraptor is an extinct genus of dromaeosaurid theropod dinosaur known from the latest Maastrichtian Hell Creek Formation of Montana, United States. It contains a single species, Acheroraptor temertyorum."
Achillesaurus,782372,Unknown,Unknown,Unknown,86.3,83.6,Río Negro,-67.632317,-39.117722,Saurischia,Alvarezsauridae,"Achillesaurus is a genus of alvarezsaurid theropod dinosaur from the Santonian-age Upper Cretaceous Bajo de la Carpa Formation of Rio Negro, Argentina. It contains one species, Achillesaurus manazzonei.","Achillesaurus is a dinosaur classified under the 'Saurischia' class and belongs to the Alvarezsauridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 86.3 to 83.6 million years ago. Fossils were discovered in the Río Negro region at approximately latitude -39.117722 and longitude -67.632317. Description: Achillesaurus is a genus of alvarezsaurid theropod dinosaur from the Santonian-age Upper Cretaceous Bajo de la Carpa Formation of Rio Negro, Argentina. It contains one species, Achillesaurus manazzonei."
Achillobator,537891,carnivorous,large theropod,5.0,100.5,83.6,Dornogov,109.858887,44.34,Saurischia,Dromaeosauridae,"Achillobator ( ə-KIL-ə-BAY-tor; meaning ""Achilles hero"") is a genus of large dromaeosaurid theropod dinosaur that lived during the Late Cretaceous period about 96 million to 89 million years ago in what is now the Bayan Shireh Formation of Mongolia. The genus is currently monotypic, only including the type species A. giganticus.","Achillobator is a dinosaur classified under the 'Saurischia' class and belongs to the Dromaeosauridae family. It was a large theropod with a carnivorous diet. The estimated maximum length was 5.0 meters. Fossil records date from 100.5 to 83.6 million years ago. Fossils were discovered in the Dornogov region at approximately latitude 44.34 and longitude 109.858887. Description: Achillobator ( ə-KIL-ə-BAY-tor; meaning ""Achilles hero"") is a genus of large dromaeosaurid theropod dinosaur that lived during the Late Cretaceous period about 96 million to 89 million years ago in what is now the Bayan Shireh Formation of Mongolia. The genus is currently monotypic, only including the type species A. giganticus."
